1|1|13.2
2|1|10
3|1|8.1
4|1|8.8
5|1|9
6|1|7.9
7|1|3.3
8|1|5.9
9|1|15.4
10|1|17.4
11|1|5.3
12|1|2.6
13|1|10.4
14|1|7.2
15|1|2.2
16|1|6
17|1|9.7
18|1|15.4
19|1|2.1
20|1|11.3
21|1|4.4
22|1|12.1
23|1|2.7
24|1|16.1
25|1|9
26|1|6
27|1|4.3
28|1|12.2
29|1|2.1
30|1|7.4
31|1|11.4
32|1|11.1
33|1|13
34|1|0.8
35|1|7.3
36|1|6.6
37|1|4.9
38|1|6.3
39|1|3.4
40|1|14.4
41|1|3.8
42|1|13.2
43|1|12.7
44|1|3.2
45|1|2.2
46|1|8.5
47|1|4
48|1|5.7
49|1|2.6
50|1|6.8
1|2|236
2|2|263
3|2|294
4|2|190
5|2|276
6|2|204
7|2|110
8|2|238
9|2|335
10|2|211
11|2|46
12|2|120
13|2|249
14|2|113
15|2|56
16|2|115
17|2|109
18|2|249
19|2|83
20|2|300
21|2|149
22|2|255
23|2|72
24|2|259
25|2|178
26|2|109
27|2|102
28|2|252
29|2|57
30|2|159
31|2|285
32|2|254
33|2|337
34|2|45
35|2|120
36|2|151
37|2|159
38|2|106
39|2|174
40|2|279
41|2|86
42|2|188
43|2|201
44|2|120
45|2|48
46|2|156
47|2|145
48|2|81
49|2|53
50|2|161
1|3|58
2|3|48
3|3|80
4|3|50
5|3|91
6|3|78
7|3|77
8|3|72
9|3|80
10|3|60
11|3|83
12|3|54
13|3|83
14|3|65
15|3|57
16|3|66
17|3|52
18|3|66
19|3|51
20|3|67
21|3|85
22|3|74
23|3|66
24|3|44
25|3|70
26|3|53
27|3|62
28|3|81
29|3|56
30|3|89
31|3|70
32|3|86
33|3|45
34|3|44
35|3|75
36|3|68
37|3|67
38|3|72
39|3|87
40|3|48
41|3|45
42|3|59
43|3|80
44|3|80
45|3|32
46|3|63
47|3|73
48|3|39
49|3|66
50|3|60
1|4|21.2
2|4|44.5
3|4|31
4|4|19.5
5|4|40.6
6|4|38.7
7|4|11.1
8|4|15.8
9|4|31.9
10|4|25.8
11|4|20.2
12|4|14.2
13|4|24
14|4|21
15|4|11.3
16|4|18
17|4|16.3
18|4|22.2
19|4|7.8
20|4|27.8
21|4|16.3
22|4|35.1
23|4|14.9
24|4|17.1
25|4|28.2
26|4|16.4
27|4|16.5
28|4|46
29|4|9.5
30|4|18.8
31|4|32.1
32|4|26.1
33|4|16.1
34|4|7.3
35|4|21.4
36|4|20
37|4|29.3
38|4|14.9
39|4|8.3
40|4|22.5
41|4|12.8
42|4|26.9
43|4|25.5
44|4|22.9
45|4|11.2
46|4|20.7
47|4|26.2
48|4|9.3
49|4|10.8
50|4|15.6
